date|datetime_friendly|user_id|page_name|content_name|Video Start|Video Completes|Video 25%|Video 50%|Video 75%|Audio Start|Audio Completes|Audio 25%|Audio 50%|Audio 75%|platform|market
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Habit loops (18 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Stepping out of the story (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Forget and forgive (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|How to find purpose at any age (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Restful sleep (12 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Arms workout (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Build better connections (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Building resilience (6 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Balanced & healthy (2 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Dealing with the hardest times (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Ab workout (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Build better sex (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Gentle tropical rainstorm (30 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Rain (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Star journey for sleep (30 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|California Surf (30 min)|0|0|0|0|0|1.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Waterfall (30 min)|0|0|0|0|0|1.0|0.0|0.0|0.0|0.0|Web|US
