#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/1M pop"|Population|Continent|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
93|Uzbekistan|149,876|+818|1,028|+7|142,632|+887|6,216|23|4,405|30|1,377,915|40,502|34,021,169|Asia|227|33,095|25|24|0.2|183
94|Norway|148,608||811||88,952||58,845|6|27,170|148|6,950,992|1,270,855|5,469,540|Europe|37|6,744|1|||10,759
95|Botswana|146,461||2,081||134,260||10,120|1|60,883|865|1,599,459|664,891|2,405,595|Africa|16|1,156|2|||4,207
96|Mozambique|142,784||1,800||126,041||14,943|32|4,428|56|827,241|25,652|32,249,049|Africa|226|17,916|39|||463
97|Latvia|141,118|+73|2,569||136,903|+115|1,646|10|75,773|1,379|3,311,552|1,778,134|1,862,375|Europe|13|725|1|39||884
98|Albania|139,324||2,478||131,273||5,573|3|48,474|862|1,003,079|348,993|2,874,212|Europe|21|1,160|3|||1,939
99|Estonia|139,126|+319|1,285|+4|131,596|+43|6,245|13|104,799|968|1,716,723|1,293,148|1,327,553|Europe|10|1,033|1|240|3|4,704
100|Namibia|123,581||3,342||118,085||2,154|41|47,655|1,289|646,571|249,330|2,593,229|Africa|21|776|4|||831
101|Zimbabwe|122,652||4,249||106,810||11,593|12|8,118|281|1,225,474|81,108|15,109,127|Africa|123|3,556|12|||767
102|Finland|122,417|+371|1,008||46,000||75,409|23|22,055|182|6,329,278|1,140,300|5,550,537|Europe|45|5,506|1|67||13,586
103|Ghana|114,584||968||106,969||6,647|53|3,602|30|1,544,519|48,554|31,810,044|Africa|278|32,862|21|||209
104|Cyprus|111,333||483||90,755||20,095|92|91,453|397|9,366,973|7,694,409|1,217,374|Asia|11|2,520|0|||16,507
105|Montenegro|109,962||1,671||102,065||6,226|11|175,055|2,660|587,257|934,889|628,157|Europe|6|376|1|||9,912
106|Uganda|97,453||2,931||95,217||-695|527|2,057|62|1,536,425|32,428|47,378,859|Africa|486|16,165|31|||-14.67
107|El Salvador|92,686||2,846|+6|79,029||10,811|152|14,208|436|1,192,402|182,785|6,523,511|North America|70|2,292|5||0.9|1,657
108|Cambodia|89,641|+410|1,808|+16|85,618|+537|2,215||5,278|106|2,054,302|120,967|16,982,297|Asia|189|9,393|8|24|0.9|130
109|Rwanda|83,023||1,021||45,222||36,780|42|6,234|77|2,313,938|173,761|13,316,785|Africa|160|13,043|6|||2,762
110|Cameroon|82,454||1,338||80,433||683|152|3,021|49|1,751,774|64,177|27,296,155|Africa|331|20,401|16|||25
111|Maldives|79,959||223||78,076||1,660|18|145,019|404|1,296,918|2,352,169|551,371|Asia|7|2,473|0|||3,011
112|Luxembourg|74,985||830||73,467||688|3|117,612|1,302|3,375,755|5,294,779|637,563|Europe|9|768|0|||1,079
113|Senegal|72,015|+88|1,680|+9|57,889|+495|12,446|50|4,176|97|720,702|41,792|17,244,776|Africa|239|10,265|24|5|0.5|722
114|Singapore|66,478||49||65,601||828|7|11,262|8|16,926,698|2,867,588|5,902,765|Asia|89|120,465|0|||140
115|Jamaica|61,833||1,388||47,721||12,724|56|20,778|466|531,130|178,477|2,975,902|North America|48|2,144|6|||4,276
116|Malawi|59,471||2,074||45,552||11,845|285|3,020|105|376,943|19,143|19,691,119|Africa|331|9,494|52|||602
117|DRC|54,009||1,053||30,858||22,098||583|11|306,299|3,306|92,649,394|Africa|1,715|87,986|302|||239
118|Ivory Coast|53,645||395||52,405||845||1,978|15|864,834|31,889|27,119,973|Africa|506|68,658|31|||31
119|Réunion|46,754||310||42,770||3,674|33|51,800|343|173,764|192,516|902,593|Africa|19|2,912|5|||4,070
120|Angola|45,945||1,153||42,384||2,408|8|1,350|34|830,836|24,418|34,025,564|Africa|741|29,510|41|||71
121|Australia|44,920|+892|984|+3|31,593||12,343|90|1,739|38|29,819,169|1,154,138|25,836,752|Australia/Oceania|575|26,257|1|35|0.1|478
122|Fiji|44,188|+591|444|+6|24,425|+616|19,319|310|48,889|491|362,890|401,495|903,847|Australia/Oceania|20|2,036|2|654|7|21,374
123|Trinidad and Tobago|43,033||1,225||36,468||5,340|22|30,636|872|296,840|211,326|1,404,655|North America|33|1,147|5|||3,802
124|Madagascar|42,847|+2|955|+1|41,276|+2|616|16|1,503|34|237,216|8,324|28,499,179|Africa|665|29,842|120|0.07|0.04|22
125|Eswatini|40,455||1,004||29,710||9,741|10|34,464|855|301,853|257,149|1,173,844|Africa|29|1,169|4|||8,298
126|Guadeloupe|40,018||324||2,250||37,444|23|99,995|810|335,167|837,495|400,202|North America|10|1,235|1|||93,563
127|Sudan|37,640||2,822||31,593||3,225||836|63|238,579|5,300|45,012,130|Africa|1,196|15,950|189|||72
128|French Polynesia|36,372||257||29,176||6,939|38|128,633|909|26,355|93,207|282,759|Australia/Oceania|8|1,100|11|||24,540
129|Malta|35,831|+57|436||34,312|+37|1,083|3|80,904|984|1,164,947|2,630,366|442,884|Europe|12|1,016|0|129||2,445
