datetime|datetime_friendly|prop28|event110|cm300007853_5ebcb03b9005f6248a063d1f|cm300007853_5ebcb00d9005f6248a063d1b|cm300007853_5ebcafaa04dd2673d5b06ecb|evar54|evar55|evar80
2021-06-12 00:00:00|Sat. 12 Jun. 2021|41b9ae37-c6bb-410d-a3d7-b2f26218dc3d|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|e088ac98-d736-40dd-aa18-6281e90b2798|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|a493e9ce-be70-4604-96f9-09063d5f28e4|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|379003c7-1a2f-4100-b26d-ea77d7bb1deb|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_31c4d94b-99e4-434c-b37c-11fca55a56ef|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|73246c62-46a1-4ff9-b4bb-647783c059db|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|0713be12-81c9-4042-bd75-a6b87e425482|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|e4c82409-09c3-461a-b49f-94f86827debb|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|5014fde9-41b3-4f8e-8998-0da0c3fb1e70|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|d0aed149-198e-4567-bda5-2cf12a8364ce|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|c2ef3b61-035f-4dd0-b3ac-4afaa41f2f1a|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|5a9ca8ea-40eb-446f-9ad4-0938804f8e2d|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|0197cd40-639b-4005-ac01-fae05cb8759e|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|456014b8-be9d-48c3-91c9-389874caf4f1|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|e9121580-6e63-40f4-b542-c5c9959f56d0|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|24e8972b-7997-40e5-b3ef-2acc6ea19c54|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|da5e852f-fae2-4950-aa94-a383cea045f4|0|0|0|0|||
