date|user_id|platform|market|content_type|content_id|content_name|metric_name|metric_value|guid
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6074476852001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6276936512001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6276935357001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6276936513001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6256962723001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6256962252001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6276933212001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6276935011001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6276935358001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6276935266001|::unspecified::|Pageviews|1|
2022-01-12|b212c051-22de-4ab2-9164-ba43468fea43|Web|US|VIDEO|6260642088001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6195711542001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276948408001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276936703001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6203296712001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6282261789001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6282261787001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276935666001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276932745001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276936512001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6282263403001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6228468824001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6203301411001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6195719070001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276936513001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6228757551001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6282426308001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6282426496001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6203302955001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276933212001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276935011001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6282429235001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6195710559001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6276935266001|::unspecified::|Pageviews|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|Web|US|VIDEO|6228825612001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6260643521001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6281174188001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6260641996001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6260641889001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6260642089001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6195665354001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6195697702001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6260643520001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6281174187001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6281173155001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6228825612001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6260641998001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6228757551001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6282428756001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6195690745001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6282429412001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6282429588001|::unspecified::|Pageviews|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|Web|US|VIDEO|6260642088001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6195690745001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6228757551001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6260641998001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6228825612001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6228468824001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6228468825001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6260642088001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6260643520001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6195697702001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6195665354001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6260642089001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6260641889001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6260641996001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6228463337001|::unspecified::|Pageviews|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|Web|US|VIDEO|6260643521001|::unspecified::|Pageviews|1|
