date|user_id|market|platform|PageName|Content_Type|Content_Name|EventName|metric_value|guid
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Breath awareness (5 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Physical benefits of relaxation (5 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Nose breathing (6 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Be present for your presentation (3 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Meet deadlines with calm (3 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Relaxation techniques (6 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Remove tension from family visits (4 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Bring grace to tough talks (4 min)|Video 25%|1|
2022-01-12|cf81d13b-8d5c-4d77-9cb2-33d33e9de4a5|US|Web|::unspecified::|Video|Quiet overwhelming self-talk (4 min)|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|What Are Some Non-Surgicial Ways to Treat Obesity?|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|What Does My Family Need to Know About My Fibromyalgia Treatment?|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Forget and forgive (8 min)|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Blast Belly Fat and Lower Blood Sugar With This Workout|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Does the Healthcare System Need to Be Challenged on Its Ways of Thinking?|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Two Minutes of Crystal Clear Lake Water|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Anxiety (15 min)|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|What Scientific Challenges Does the Food Industry Face?|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Burn More Calories With Tea|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Good Posture, Good Health|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Anger (15 min)|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Simple and healthy snacks to enjoy while working from home|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Peanut butter vs. almond butter: Which one is healthier?|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|At-risk Americans are eligible for a 4th shot this week|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Bread truck feeds stranded motorists on I-95|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|FDA advises against swabbing throat when using at-home COVID-19 tests|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|Port Arena, CA|Video 25%|1|
2022-01-12|350bf3d3-8454-4163-b93c-235f8f9653d4|US|Web|::unspecified::|Video|How to sleep when anxious|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|When Managing My Finances, Why Is It Important to Pay Myself First?|Video 25%|2|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|Why Is Buying Health Insurance so Important?|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|What Is a 401k?|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|3 Surprising Mistakes People Make That Increase Their Debt|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|What Are the Red Flags That I’m in Too Much Debt?|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|When Do I Need to Update My Will?|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|How to Create an Emergency Fund|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|How to Prioritize Your Debt|Video 25%|1|
2022-01-12|c34a5c26-1467-4a12-87c9-014f1a5b2860|US|Web|::unspecified::|Video|Building self-compassion (8 min)|Video 25%|1|
