metric_id|entity|dims|upper_range|lower_range
100003001|10500002|Targeted|1428.75|-1113.25
100003001|10500004|Targeted|1389.0|-1087.0
100003001|10500005|Targeted|402.75|-383.25
100003001|10500006|Targeted|3.0|-17.0
100003001|10500007|Targeted|848.75|-1121.25
100003001|10500008|Targeted|52.25|-41.75
100003001|10500023|Targeted|40.75|-45.25
100003001|10500024|Targeted|20.75|-29.25
100003001|125500001|Targeted|1.25|-8.75
100003001|134500001|Targeted|11.5|-4.5
100003001|13750020|Targeted|12.25|-1.75
100003001|13750045|Targeted|48.5|-7.5
100003001|13750046|Targeted|25.75|-0.25
100003001|13750049|Targeted|11.25|-6.75
100003001|13750050|Targeted|13.75|-0.25
100003001|13750054|Targeted|5.75|-4.25
100003001|13750055|Targeted|53.5|-58.5
100003001|13750057|Targeted|22.0|2.0
100003001|13750059|Targeted|3.0|-1.0
100003001|13750063|Targeted|11.0|-1.0
100003001|13750065|Targeted|9.75|-4.25
100003001|16250001|Targeted|90.0|-10.0
100003001|17000001|Targeted|1019.0|1019.0
100003001|180000001|Targeted|126.75|36.75
100003001|180000002|Targeted|32.25|-17.75
100003001|18750001|Targeted|191.75|-394.25
100003001|190250001|Targeted|11.5|-4.5
100003001|22500001|Targeted|4236.25|-65.75
100003001|238250001|Targeted|124.5|-111.5
100003001|248750005|Targeted|5239.25|-4034.75
100003001|280000001|Targeted|72.5|-47.5
100003001|280000002|Targeted|7.25|-10.75
100003001|28000001|Targeted|15.5|-12.5
100003001|28500001|Targeted|25655.5|-22920.5
100003001|28500002|Targeted|562.75|-439.25
100003001|28500003|Targeted|199.25|-138.75
100003001|28500004|Targeted|1953.25|-1204.75
100003001|28750001|Targeted|143.75|-126.25
100003001|28750002|Targeted|232.0|-184.0
100003001|28750011|Targeted|32.75|6.75
100003001|28750012|Targeted|23.0|-1.0
100003001|28750013|Targeted|16.25|2.25
100003001|28750014|Targeted|35.5|-12.5
100003001|28750015|Targeted|86.5|6.5
100003001|29000001|Targeted|128.5|-91.5
100003001|29250001|Targeted|511.25|-358.75
100003001|29250003|Targeted|247.75|-242.25
100003001|29500001|Targeted|189.25|-200.75
100003001|29750001|Targeted|885.0|-615.0
100003001|29750002|Targeted|114.0|-166.0
100003001|315250001|Targeted|113.25|-92.75
100003001|32250001|Targeted|18.25|-7.75
100003001|32250003|Targeted|201.25|-92.75
100003001|33750004|Targeted|80.0|-380.0
100003001|352000002|Targeted|3.5|-0.5
100003001|352000004|Targeted|0.75|-1.25
100003001|352000006|Targeted|13.5|-6.5
100003001|35750001|Targeted|16.25|-5.75
100003001|35750003|Targeted|201.75|-88.25
100003001|37500002|Targeted|7.0|-9.0
100003001|38750001|Targeted|2144.0|-480.0
100003001|38750002|Targeted|2144.0|-480.0
100003001|38750003|Targeted|2401.75|27.75
100003001|423000001|Targeted|83.0|-29.0
100003001|42500002|Targeted|38.75|-11.25
100003001|48750001|Targeted|4.0|-32.0
100003001|50000001|Targeted|53.75|11.75
100003001|50000003|Targeted|58.0|-90.0
100003001|50000004|Targeted|31.5|-20.5
100003001|50250001|Targeted|4.25|-5.75
100003001|50250002|Targeted|30.25|-11.75
100003001|50750001|Targeted|6.25|-7.75
100003001|51000002|Targeted|16.25|-25.75
100003001|53750005|Targeted|85.0|13.0
100003001|53750007|Targeted|3.5|-8.5
100003001|53750015|Targeted|29.5|-34.5
100003001|53750017|Targeted|97.0|69.0
100003001|54000005|Targeted|32.75|-5.25
100003001|54000006|Targeted|302.75|20.75
100003001|54250004|Targeted|586.0|210.0
100003001|54250006|Targeted|62.25|4.25
100003001|54500007|Targeted|6.25|-7.75
100003001|54750006|Targeted|36.0|-8.0
100003001|55000001|Targeted|-26.0|-106.0
100003001|55000002|Targeted|101.25|11.25
100003001|57250012|Targeted|4275.0|-77.0
100003001|57250016|Targeted|4.5|-7.5
100003001|57250021|Targeted|36.25|-21.75
100003001|58250001|Targeted|6.75|-7.25
100003001|58250002|Targeted|7.25|-2.75
100003001|58250023|Targeted|5.25|-4.75
100003001|58250027|Targeted|28.5|0.5
100003001|58250035|Targeted|30.5|-21.5
100003001|58250036|Targeted|51.75|-10.25
100003001|58250041|Targeted|6.5|-1.5
100003001|58250042|Targeted|42.25|-3.75
100003001|58250050|Targeted|65.5|25.5
100003001|59750002|Targeted|2.75|-3.25
100003001|59750003|Targeted|9.75|-0.25
100003001|59750004|Targeted|28.75|-5.25
100003001|62500001|Targeted|4188.75|-105.25
100003001|63000001|Targeted|2401.75|27.75
